ticker,sector_group,potential_score,valuation_score,quality_score,growth_score,sentiment_score,fwd_return,fwd_return_net,decile,regime_label
SNA,industrials,71.89,81.22,91.31,,51.58,0.16507574185515672,0.15641535305914253,10,R2
SNBR,consumer_disc,49.11,90.32,86.49,60.0,14.29,-0.5943864229765012,-0.619406516881608,7,R2
SNDR,industrials,48.08,60.32,53.16,56.9,39.53,-0.07032793362307377,-0.08954475413820889,7,R2
SNDX,healthcare,51.8,26.09,54.11,95.34,20.01,0.1841023298309732,0.1541023298309732,8,R2
SNEX,non_bank_financial,18.53,95.4,6.25,9.09,14.29,0.5366391184573005,0.5066391184573005,1,R2
SNH,reits,15.8,36.23,50.38,8.7,1.52,-0.7253521126760563,-0.7553521126760563,1,R2
SNOW,tech_software,67.55,0.52,28.95,97.53,78.07,-0.5927970479704797,-0.5991257688042249,10,R2
SNPO,tech_hardware,27.65,20.63,36.59,,56.72,-0.6086337760910816,-0.6386337760910816,3,R2
SNPS,tech_software,53.79,35.99,84.79,34.57,83.22,-0.11090909090909096,-0.11738548696423379,8,R2
SNX,industrials,45.78,85.63,26.77,8.33,77.08,-0.07065923862581247,-0.08868139020461178,6,R2
SOLY,healthcare,44.24,0.0,,,97.6,-0.3,-0.32999999999999996,6,R2
SONO,consumer_disc,42.66,49.72,46.65,21.74,78.12,-0.3942953020134228,-0.4131184938133122,6,R2
SOVO,consumer_staples,30.37,23.74,36.72,,64.81,-0.08372093023255822,-0.11372093023255822,3,R2
SPB,consumer_disc,42.53,25.35,21.62,,74.29,-0.3492849284928493,-0.3671434249303147,5,R2
SPCE,consumer_disc,1.77,0.0,2.94,,13.46,-0.6988041853512705,-0.7188454543776654,1,R2
SPG,reits,70.7,76.04,50.38,72.83,94.7,-0.22320651744048103,-0.23076293758232114,10,R2
SPGI,non_bank_financial,55.19,29.59,91.86,45.45,60.71,-0.24235635213494988,-0.2476472723947701,8,R2
SPH,utilities,48.85,70.0,27.27,88.24,46.67,0.15384615384615397,0.12456640819967597,7,R2
