ticker,sector_group,potential_score,valuation_score,quality_score,growth_score,sentiment_score,fwd_return,fwd_return_net,decile,regime_label
BA,industrials,31.52,6.35,19.7,50.0,51.52,-0.34013657638302774,-0.34545265024125343,3,R3
BAH,industrials,50.43,17.52,52.02,72.21,67.86,0.04994287579565837,0.042017843687742834,7,R3
BALY,consumer_disc,20.17,27.27,24.66,65.18,6.67,0.28550932568149223,0.2555093256814922,1,R3
BAND,tech_software,21.52,51.29,21.24,32.11,28.76,0.10573600552868001,0.07573600552868001,2,R3
BASE,tech_software,44.83,0.0,36.61,61.01,84.02,-0.29840142095914735,-0.32840142095914737,6,R3
BAX,healthcare,29.55,67.17,41.68,6.73,21.31,-0.2173441734417344,-0.2249194993913014,2,R3
BBBY,consumer_disc,9.47,0.0,6.29,1.43,48.68,-0.7775370169736366,-0.8048010001967807,1,R3
BBIO,healthcare,29.16,4.0,81.0,9.7,68.45,-0.27966311617537776,-0.30951073418529246,2,R3
BBW,consumer_disc,41.54,50.77,11.93,,73.68,0.8715722120658138,0.8415722120658138,5,R3
BBWI,consumer_disc,34.91,57.94,84.64,20.8,14.47,-0.13870411431387042,-0.15481658283344826,3,R3
BBY,consumer_disc,33.95,62.54,57.53,9.5,28.95,0.10966913861950944,0.10224475769121262,3,R3
BC,consumer_disc,63.01,78.67,61.06,,61.67,-0.33155138555531305,-0.34793282152573896,10,R3
BCPC,industrials,41.46,16.91,62.14,61.59,53.33,0.04215392983410382,0.022698952955731332,5,R3
BCRX,healthcare,54.76,25.71,90.0,75.37,48.65,0.28046744574290483,0.2504674457429048,8,R3
BCSF,non_bank_financial,67.0,86.25,58.86,84.48,72.73,0.25087108013937276,0.22347276264614385,10,R3
BCYC,healthcare,47.41,26.76,44.88,77.61,42.99,-0.2638274336283185,-0.29382743362831854,6,R3
BDC,industrials,42.1,85.41,54.39,41.69,12.5,0.47497725204731567,0.45332937414695607,5,R3
BDN,reits,17.89,16.5,50.36,,17.14,0.06265664160400997,0.03265664160400997,1,R3
BDSI,healthcare,55.11,73.91,85.41,,50.0,-0.3,-0.32999999999999996,8,R3
BDX,healthcare,39.37,47.66,46.67,27.68,41.8,-0.025634033269702705,-0.03103843710054735,4,R3
BEAM,healthcare,60.03,23.58,40.45,92.54,58.04,-0.03049228508449664,-0.05674218589202483,9,R3
BELFB,tech_hardware,68.21,80.7,58.97,78.65,92.31,0.16301886792452835,0.13301886792452836,10,R3
BEN,non_bank_financial,39.05,39.76,39.42,62.59,22.73,-0.313944530046225,-0.32321478571145923,4,R3
