ticker,sector_group,potential_score,valuation_score,quality_score,growth_score,sentiment_score,fwd_return,fwd_return_net,decile,regime_label
ACI,consumer_staples,70.47,78.47,54.44,,93.1,-0.04768928220255653,-0.05168928220255653,10,R2
ACIW,tech_software,21.01,66.61,46.38,1.23,35.82,-0.2299711815561961,-0.23997118155619612,2,R2
ACLS,tech_hardware,71.27,60.94,56.12,84.78,94.28,0.24839055793991416,0.23839055793991415,10,R2
ACM,industrials,45.56,41.28,30.94,,70.37,0.0925526173772262,0.0885526173772262,6,R2
ACMR,tech_hardware,12.87,4.21,50.8,,19.8,-0.6537649542575652,-0.6637649542575652,1,R2
ACRS,healthcare,34.73,0.0,4.1,46.46,96.8,0.18638239339752416,0.17638239339752415,4,R2
ACVA,consumer_disc,22.9,7.76,15.25,,52.6,-0.5483014861995754,-0.5583014861995754,2,R2
ADAP,healthcare,27.93,26.03,40.21,35.59,43.9,-0.5146666666666666,-0.5246666666666666,3,R2
ADBE,tech_software,61.78,53.35,97.06,57.41,63.42,-0.4027087080732197,-0.4067087080732197,9,R2
ADCT,healthcare,22.14,10.21,25.76,,40.81,-0.7851485148514852,-0.7951485148514852,2,R2
ADI,tech_hardware,56.96,48.64,69.44,78.26,37.01,-0.019118818555058592,-0.023118818555058592,9,R2
ADM,consumer_staples,47.91,36.78,26.59,,88.0,0.29979912956143284,0.29579912956143284,7,R2
ADNT,consumer_disc,63.38,93.63,44.98,,66.67,-0.13617376775271517,-0.14617376775271518,10,R2
ADP,industrials,62.29,29.28,92.55,55.56,81.25,-0.004940579516624299,-0.0089405795166243,9,R2
ADPT,healthcare,44.6,20.48,40.45,66.95,41.99,-0.6817533856022808,-0.6917533856022808,6,R2
ADSK,tech_software,53.85,51.06,96.71,46.91,41.57,-0.3121021373448558,-0.3161021373448558,8,R2
ADT,tech_hardware,37.25,61.24,46.14,,33.33,0.16005291005291,0.15005291005291,4,R2
ADTN,tech_hardware,24.84,4.55,29.5,,71.88,-0.12217194570135759,-0.1321719457013576,2,R2
ADUS,healthcare,31.41,18.86,60.14,47.37,41.38,0.08565928777670817,0.07565928777670818,3,R2
ADV,industrials,29.58,44.67,32.3,75.0,2.08,-0.7281795511221945,-0.7381795511221945,3,R2
AEE,utilities,54.7,55.48,62.5,52.94,51.11,0.02768210230896795,0.02368210230896795,8,R2
AEHR,tech_hardware,54.66,0.0,17.78,100.0,99.15,0.19685690653432597,0.18685690653432596,8,R2
AEIS,tech_hardware,37.47,46.77,69.5,,19.05,0.02264108855677005,0.01264108855677005,4,R2
AEO,consumer_disc,30.08,7.43,37.9,,47.67,-0.3833110218652387,-0.3933110218652387,3,R2
AEP,utilities,47.77,56.44,47.73,,35.56,0.1307509254362771,0.12675092543627708,7,R2
AERI,healthcare,24.81,0.0,27.28,76.67,25.0,1.1723646723646723,1.1623646723646723,2,R2
AEVA,consumer_disc,0.83,3.45,7.6,,17.54,-0.8082010582010581,-0.8182010582010582,1,R2
AFRM,non_bank_financial,37.83,1.08,16.11,,95.26,-0.8999602227525855,-0.9039602227525855,5,R2
AGEN,healthcare,58.31,67.39,84.27,,61.47,-0.18006329113924058,-0.1900632911392406,9,R2
AGIO,healthcare,48.49,42.71,71.26,,51.67,-0.10009126863401274,-0.11009126863401274,7,R2
AGL,healthcare,22.77,0.0,21.07,,52.18,-0.30666666666666664,-0.31066666666666665,2,R2
AGNC,reits,34.94,31.19,50.37,,28.03,-0.169950738916256,-0.17995073891625601,4,R2
AGR,utilities,57.07,57.31,62.5,47.06,77.78,-0.08521418701059424,-0.08921418701059425,9,R2
AGX,industrials,36.14,86.05,66.07,19.57,14.81,-0.0002808988764044784,-0.010280898876404479,4,R2
AGYS,tech_software,28.55,26.93,60.31,29.01,47.34,0.7404408457040035,0.7304408457040035,3,R2
AHCO,healthcare,12.6,42.27,31.19,,0.8,-0.15903515944399016,-0.16903515944399017,1,R2
AHH,reits,42.49,52.08,50.38,,56.06,-0.19250871080139376,-0.20250871080139377,5,R2
AHT,reits,15.89,21.89,50.38,,0.76,-0.4854166666666667,-0.4954166666666667,1,R2
AI,tech_software,10.43,0.0,40.28,,4.95,-0.63584,-0.64584,1,R2
AIMC,industrials,32.54,78.48,47.08,25.0,14.74,0.17136701919310604,0.16136701919310603,3,R2
AIP,tech_hardware,39.45,1.0,53.12,,79.69,-0.8057792515395548,-0.8157792515395548,5,R2
AIR,industrials,30.68,55.41,39.57,,25.81,0.1998462720983858,0.18984627209838578,3,R2
AIRC,reits,32.45,8.85,50.38,,64.39,-0.33455582722086397,-0.344555827220864,3,R2
AIV,reits,30.98,20.09,50.38,,67.42,-0.043927648578811374,-0.053927648578811375,3,R2
AJG,non_bank_financial,47.68,47.16,30.82,63.64,46.43,0.14891130520359197,0.14491130520359197,7,R2
AJRD,industrials,54.48,68.81,82.26,55.56,35.48,0.19183062446535493,0.18183062446535492,8,R2
AKA,consumer_disc,38.53,11.62,46.55,,74.23,-0.8497297297297297,-0.8597297297297297,5,R2
AKAM,tech_software,44.21,72.4,65.12,25.31,57.04,-0.25333219412166785,-0.25733219412166786,6,R2
AKR,reits,42.52,11.46,50.38,86.96,75.76,-0.3294892915980231,-0.3394892915980231,6,R2
AKRO,healthcare,26.94,16.97,,,42.27,1.097872340425532,1.087872340425532,2,R2
AKYA,healthcare,30.84,73.91,19.1,,41.67,-0.28870019595035923,-0.29870019595035924,3,R2
