ticker,valuation_score_A,quality_score_A,growth_score_A,sentiment_score_A,potential_score_A,valuation_score_B,quality_score_B,growth_score_B,sentiment_score_B,potential_score_B
BRDG,54.98,78.95,,95.65,66.28,57.05,77.92,,95.65,66.55
BRK-A,,,,,,,,,,
BRKR,15.59,59.74,51.62,10.83,31.0,18.84,59.69,54.44,10.83,32.76
BRKS,1.99,28.09,61.4,62.68,43.05,2.55,27.86,59.65,62.68,42.51
BRMK,44.57,82.98,4.54,34.69,40.76,38.3,82.75,4.6,34.69,38.82
BRO,58.56,60.93,76.65,48.65,62.95,58.13,63.63,73.69,48.65,62.48
BROS,27.54,21.93,94.97,91.89,63.22,30.88,22.81,91.79,91.89,62.97
BRP,16.67,17.95,85.48,27.03,38.11,10.48,20.66,84.38,27.03,37.1
BRSP,67.66,30.49,,23.13,35.3,67.67,31.73,,23.13,35.75
BRX,49.95,78.03,38.58,85.71,56.53,52.53,73.33,34.07,85.71,54.73
BRZE,6.93,34.42,88.24,7.48,48.94,6.54,31.34,95.48,7.48,51.94
BSIG,46.5,60.38,56.25,69.57,49.16,47.14,62.08,58.82,69.57,50.62
BSM,49.33,96.0,13.14,44.68,44.82,49.33,96.08,19.68,44.68,46.02
BSX,25.38,68.83,67.01,84.17,61.04,26.2,68.72,69.34,84.17,62.03
BSY,29.63,89.21,41.86,64.78,51.96,30.38,90.2,40.95,64.78,51.78
BTBT,22.22,31.54,,8.11,11.51,21.9,32.9,,8.11,11.92
BTU,73.59,73.0,26.09,8.06,41.19,73.59,73.26,26.09,8.06,41.24
BURL,24.83,88.17,91.87,32.26,56.28,24.44,89.25,65.07,32.26,51.49
BV,32.71,49.65,20.93,84.91,36.94,33.78,48.7,19.68,84.91,36.6
BWMN,4.48,17.82,,13.21,1.69,4.37,18.44,,13.21,1.87
BWXT,46.21,82.68,49.89,65.79,58.75,45.86,82.68,53.8,65.79,59.83
BX,16.0,64.48,53.12,78.26,52.09,11.39,65.37,59.93,78.26,53.75
BXC,54.84,23.23,4.56,19.7,17.14,54.84,23.23,4.17,19.7,17.05
BXP,37.4,45.62,24.58,91.84,40.84,37.88,43.91,23.56,91.84,40.24
BYD,89.32,80.18,37.91,83.05,65.93,88.56,82.7,39.56,83.05,66.84
BYRN,5.95,11.81,12.5,89.47,15.89,5.95,11.81,15.62,89.47,16.83
BZ,,,,,,,,,,
BZH,,,,,,,,,,
CABO,65.38,71.03,37.39,5.71,40.14,64.05,74.21,29.19,5.71,38.13
CACC,,,,,,,,,,
CACI,71.54,20.72,43.89,64.6,44.95,73.02,23.52,42.53,64.6,44.99
CAG,82.12,40.75,40.62,35.19,51.19,83.56,31.31,38.24,35.19,48.34
CAH,,,,,,,,,,
CAI,,,,,,,,,,
CAKE,65.71,44.74,53.42,94.59,62.05,51.47,39.47,78.21,94.59,66.67
CAL,85.48,59.46,49.22,5.41,38.15,91.63,54.05,72.52,5.41,46.36
CALM,13.7,43.55,,100.0,44.03,13.7,44.18,,100.0,44.26
CALX,15.44,30.12,85.07,85.22,60.46,26.05,31.93,9.5,85.22,24.03
CAMT,23.69,71.03,96.49,26.09,51.27,37.8,68.78,87.48,26.09,50.57
CAPR,17.4,44.07,90.14,91.32,68.03,20.59,46.17,88.81,91.32,67.87
CAR,15.0,39.14,,74.58,42.45,16.07,38.06,,74.58,42.45
CARG,46.29,78.55,3.57,82.35,41.16,54.34,71.63,7.14,82.35,42.4
CARR,33.89,51.82,31.19,62.83,42.12,33.64,51.83,29.21,62.83,41.46
CARS,53.81,48.28,38.76,1.72,25.41,51.27,50.86,40.38,1.72,25.97
CASS,57.8,51.02,,60.38,46.12,57.8,51.02,,60.38,46.12
CASY,28.92,58.06,79.17,70.97,54.42,28.65,56.99,79.24,70.97,54.02
CAT,,,,,,,,,,
CATM,61.5,44.02,,34.96,47.78,59.9,44.62,,34.96,47.42
CAVA,11.43,21.93,91.43,18.92,40.94,7.35,32.46,92.14,18.92,42.46
CBAY,9.57,49.61,,48.98,39.1,9.73,49.16,,48.98,38.98
CBB,28.99,55.56,35.68,27.14,37.25,33.33,16.67,28.39,27.14,26.47
CBOE,39.27,63.86,32.84,72.97,48.48,40.67,66.64,26.69,72.97,47.28
CBRE,,,,,,,,,,
CBRL,61.92,42.98,20.0,75.68,43.02,64.71,42.11,10.36,75.68,40.08
CBT,85.85,80.0,43.59,44.44,59.79,85.95,78.89,42.11,44.44,59.24
CBZ,,,,,,,,,,
CC,40.81,20.0,51.28,8.89,25.22,40.97,20.0,50.0,8.89,24.97
CCCS,29.01,73.81,38.91,19.16,39.0,30.86,71.97,38.01,19.16,38.41
CCF,47.94,83.3,85.15,34.96,64.2,52.5,76.7,82.18,34.96,62.82
CCI,31.68,61.31,69.23,37.14,50.41,33.42,64.88,65.38,37.14,50.59
CCK,,,,,,,,,,
CCL,78.64,30.77,96.29,86.44,75.96,81.5,28.75,97.17,86.44,76.44
CCMP,55.82,41.08,,62.68,53.99,58.19,42.37,,62.68,55.11
CCO,32.21,52.31,21.63,5.66,18.8,34.81,53.62,18.76,5.66,18.93
CCOI,4.35,37.1,48.72,17.14,24.53,8.0,20.44,49.21,17.14,21.44
CCRN,15.91,64.71,16.79,32.26,18.12,6.25,68.16,14.58,32.26,15.57
CCS,,,,,,,,,,
CCSI,97.23,78.76,10.86,50.18,31.5,96.98,81.28,10.41,50.18,31.73
CCXI,7.69,95.04,,48.98,57.08,7.75,88.39,,48.98,54.94
CDE,36.8,20.83,51.24,70.97,41.71,43.66,16.67,44.1,70.97,41.16
CDK,70.49,37.03,,44.98,47.95,70.78,39.37,,44.98,48.93
CDMO,12.97,4.13,37.32,44.32,22.18,12.98,7.1,37.06,44.32,22.48
CDNA,46.92,32.96,26.21,86.67,37.61,31.39,32.15,28.16,86.67,34.38
CDNS,23.65,93.89,56.11,49.64,57.42,25.35,93.73,54.75,49.64,56.91
CDR,23.29,37.75,,34.69,30.84,23.41,33.98,,34.69,29.5
CDRE,34.92,76.13,40.62,31.58,38.41,34.61,76.13,40.62,31.58,38.33
CDTX,11.88,26.2,,52.75,27.46,11.81,26.17,,52.75,27.44
CDW,69.27,17.37,5.43,28.01,18.13,70.39,20.0,5.88,28.01,19.0
CDXC,35.46,20.66,47.18,57.81,34.85,39.69,70.26,46.85,57.81,42.4
CE,28.43,75.56,57.97,4.44,35.69,28.43,73.33,59.03,4.44,35.49
CEG,,,,,,,,,,
CEIX,,,,,,,,,,
CELC,11.62,48.01,,39.74,27.79,11.18,47.55,,39.74,27.57
CELH,,,,,,,,,,
CENT,67.34,31.25,18.75,55.56,34.97,69.55,34.38,24.18,55.56,37.61
CENX,43.46,33.33,13.04,45.16,26.01,42.59,33.33,13.04,45.16,25.75
CEPU,98.98,92.12,,81.63,83.02,99.49,93.27,,81.63,83.69
CEQP,42.38,28.95,100.0,28.29,42.39,41.54,31.58,96.67,28.29,42.05
CERE,4.08,45.85,,33.34,29.49,4.23,45.33,,33.34,29.35
CERT,47.12,57.95,31.22,29.47,30.54,51.08,61.46,30.77,29.47,31.46
CEVA,5.56,44.3,26.68,45.16,19.38,3.57,45.41,22.99,45.16,18.04
CF,,,,,,,,,,
CFLT,2.31,32.8,86.88,20.26,50.09,2.11,34.14,85.52,20.26,49.64
CFX,3.12,14.46,77.43,37.5,35.01,5.1,13.56,43.22,37.5,25.04
CGBD,41.43,94.57,42.19,13.04,42.88,49.07,63.98,67.52,13.04,45.93
CGEM,19.8,80.22,,54.88,47.3,20.07,80.37,,54.88,47.4
CGNX,28.75,77.9,20.61,4.35,30.22,23.79,77.42,21.66,4.35,29.16
CHCT,33.52,43.18,54.95,9.52,29.32,40.14,32.83,44.21,9.52,25.39
CHD,21.67,74.49,60.42,50.0,49.81,21.32,67.56,59.69,50.0,47.48
CHDN,51.82,59.17,68.0,6.78,45.25,56.04,56.72,72.96,6.78,47.33
CHE,35.41,96.67,36.76,64.52,51.11,35.0,96.67,40.62,64.52,52.35
CHEF,36.29,40.86,98.21,90.32,55.42,34.84,40.86,98.28,90.32,54.98
CHH,44.41,87.16,41.15,47.46,50.38,48.09,83.66,39.31,47.46,49.79
CHKP,62.3,98.13,27.15,76.64,52.92,65.03,97.59,22.17,76.64,50.63
CHNG,42.26,42.16,,44.98,43.23,43.36,44.4,,44.98,44.37
CHPT,0.0,5.77,32.56,7.69,2.71,0.0,5.77,97.67,7.69,22.22
CHRW,41.52,45.83,8.1,84.62,39.22,40.97,49.04,7.88,84.62,39.82
CHS,71.22,39.0,98.51,48.03,58.34,74.82,40.02,98.51,48.03,59.28
CHTR,72.93,68.25,48.08,65.71,61.73,73.62,71.43,43.67,65.71,61.38
CHUY,54.43,54.82,54.29,83.78,52.89,55.88,52.63,42.86,83.78,48.8
CHWY,18.01,16.0,88.34,92.11,58.63,13.42,16.0,91.53,92.11,58.8
CIEN,28.84,53.33,69.23,80.65,55.15,30.88,52.26,51.28,80.65,50.02
CIFR,13.89,2.78,,13.51,2.6,29.52,8.42,100.0,13.51,39.17
CIM,61.65,78.29,,73.47,61.25,61.65,79.06,,73.47,61.53
CINC,6.69,,,48.98,38.73,6.1,,,48.98,38.58
CIR,31.35,10.45,40.59,34.96,27.72,30.47,10.15,35.64,34.96,25.94
CIVI,97.44,94.0,90.48,6.79,67.69,97.44,94.12,90.7,6.79,67.76
CL,41.37,94.36,56.77,51.85,61.85,42.1,94.36,55.15,51.85,61.77
CLBR,,,,,,,,,,
CLBT,24.46,83.53,,41.06,48.43,24.66,84.73,,41.06,48.94
CLDR,28.99,69.42,,44.98,50.71,29.11,72.44,,44.98,51.92
CLDT,74.89,37.26,,15.65,39.49,75.18,36.06,,15.65,39.17
CLDX,19.44,43.52,80.28,42.78,53.04,13.55,96.45,79.02,42.78,59.82
CLF,0.0,54.17,18.01,16.13,17.46,0.0,54.17,21.58,16.13,18.31
CLFD,23.12,58.92,3.85,32.26,18.08,25.69,66.49,23.35,32.26,26.46
CLGX,58.49,76.84,,33.96,58.09,59.44,77.82,,33.96,58.79
CLH,,,,,,,,,,
CLMT,3.57,12.0,76.19,13.46,11.18,3.51,13.73,76.74,13.46,11.62
CLNE,,,,,,,,,,
CLOV,,,,,,,,,,
CLPT,0.0,23.97,80.58,98.33,46.47,0.0,23.99,81.55,98.33,46.81
CLR,52.62,14.0,88.1,62.58,53.61,52.31,15.69,88.37,62.58,53.91
CLS,17.48,43.45,,89.86,45.28,19.86,43.44,,89.86,46.14
CLSK,,,,,,,,,,
CLVT,62.71,51.55,9.95,17.7,18.07,62.02,55.12,9.95,17.7,18.68
CLW,,,,,,,,,,
CLX,24.04,62.87,29.17,57.41,42.49,24.69,63.18,28.57,57.41,42.68
CMC,,,,,,,,,,
CMCO,,,,,,,,,,
CMCSA,86.85,72.02,51.71,20.0,58.75,85.74,75.2,44.68,20.0,57.16
CME,73.51,78.65,39.74,81.08,63.87,71.44,77.22,34.75,81.08,61.33
CMG,22.86,84.21,69.75,21.62,50.2,16.18,85.09,67.86,21.62,48.37
CMI,66.83,40.43,59.39,69.91,57.48,65.44,44.3,54.5,69.91,56.63
CMPR,,,,,,,,,,
CMPS,0.0,3.45,,12.9,0.0,0.0,3.45,,12.9,0.0
CMPX,13.33,39.06,,74.6,43.06,13.14,39.22,,74.6,43.08
CMRE,95.93,87.18,97.67,26.92,70.62,96.21,87.18,100.0,26.92,71.39
CMRX,8.82,100.0,0.7,53.74,18.7,8.51,96.45,0.7,53.74,18.14
CMS,23.14,46.67,46.34,67.35,41.26,24.16,46.67,46.34,67.35,41.58
CMTG,94.0,79.38,,0.68,60.43,94.39,75.31,,0.68,59.11
CNC,,,,,,,,,,
CNCE,14.5,40.26,,48.98,40.5,14.09,40.4,,48.98,40.48
CNDT,51.93,24.29,8.03,15.09,14.6,50.22,30.68,8.6,15.09,15.93
CNHI,,,,,,,,,,
CNK,72.47,61.29,66.67,83.87,68.02,72.69,44.56,66.67,83.87,63.97
CNM,51.34,44.74,67.15,66.37,55.35,50.2,44.43,82.77,66.37,59.66
CNMD,88.19,50.54,60.76,41.67,55.17,91.04,49.84,61.93,41.67,56.15
CNNE,0.0,3.51,2.86,48.65,8.9,0.0,3.51,2.86,48.65,8.9
CNP,35.48,80.0,19.51,69.39,48.73,35.48,77.78,19.51,69.39,48.06
CNR,2.08,26.06,1.96,12.5,6.32,2.04,95.49,51.38,12.5,38.42
CNS,18.26,73.67,43.75,47.83,40.74,19.6,74.85,37.99,47.83,39.28
CNSL,85.45,63.89,,34.29,53.33,84.23,63.89,,34.29,52.89
CNST,11.5,,,48.98,39.89,11.02,,,48.98,39.77
CNTA,11.52,32.94,,59.66,33.12,11.02,32.59,,59.66,32.93
CNX,14.52,70.0,56.24,90.27,51.5,15.09,52.94,4.25,90.27,38.66
CNXC,93.27,23.78,79.64,54.74,60.5,93.0,26.74,77.83,54.74,60.13
CNXN,55.9,41.07,33.63,47.83,35.86,59.74,41.54,35.14,47.83,37.4
COCO,13.41,72.33,79.69,83.33,51.0,13.95,72.96,81.05,83.33,51.61
CODI,,,,,,,,,,
COGT,10.43,,,27.6,13.43,9.83,,,27.6,13.29
COHR,68.91,39.11,,50.72,50.37,67.9,39.11,,50.72,50.0
COHU,42.0,29.01,,11.59,16.3,41.57,30.75,,11.59,16.7
COIN,22.21,50.97,65.77,59.46,50.94,29.09,19.54,75.31,59.46,48.04
COKE,,,,,,,,,,
COLD,30.88,27.41,,4.76,21.73,30.03,21.99,,4.76,19.36
COLL,47.13,80.99,,36.59,42.91,48.81,82.94,,36.59,44.0
COLM,58.06,69.37,64.42,35.14,53.64,49.83,67.57,56.64,35.14,48.92
COMP,29.41,9.8,8.6,85.22,18.68,26.92,9.72,8.14,85.22,18.14
CONE,5.7,28.03,,34.69,19.57,5.82,27.82,,34.69,19.55
COO,47.75,64.89,43.69,31.67,43.82,48.77,61.94,55.18,31.67,47.55
COP,41.15,38.0,30.33,32.96,35.68,41.15,43.14,30.46,32.96,36.78
COR,,,,,,,,,,
CORT,27.8,90.91,59.86,76.89,62.01,25.31,86.13,60.14,76.89,61.26
CORZ,0.0,20.51,,50.0,21.96,0.0,23.21,,50.0,23.01
COST,12.76,55.91,60.71,51.61,36.41,12.68,55.91,68.44,51.61,37.83
COT,,,,,,,,,,
COTY,45.05,57.02,72.92,3.7,41.59,44.9,51.47,66.51,3.7,38.67
COUP,15.13,47.96,,44.98,39.04,14.49,51.16,,44.98,40.13
COUR,,,,,,,,,,
CP,18.15,66.03,82.16,75.0,59.47,18.57,66.67,79.93,75.0,59.07
CPA,,,,,,,,,,
CPB,60.38,50.64,68.75,31.48,51.89,61.44,52.53,67.35,31.48,52.52
CPE,81.09,42.0,,62.58,60.57,81.09,49.02,,62.58,62.37
CPK,2.08,44.44,70.73,42.86,33.7,2.08,42.22,70.73,42.86,33.02
CPLG,61.67,31.9,,34.69,45.45,61.91,32.39,,34.69,45.73
CPNG,4.82,23.89,97.01,76.32,57.01,6.2,22.67,97.76,76.32,57.3
CPRI,96.77,86.49,97.14,8.11,65.93,24.8,77.48,7.23,8.11,18.53
CPRT,10.81,95.69,71.15,34.48,53.73,10.33,96.55,72.02,34.48,54.1
CPRX,77.69,51.24,70.42,58.11,60.25,77.24,45.81,69.93,58.11,59.14
CPS,67.04,17.24,68.27,96.55,55.01,69.14,18.97,66.12,96.55,55.03
CPT,12.84,50.23,,68.03,35.9,13.07,48.59,,68.03,35.4
CQP,55.98,60.53,38.63,59.87,48.69,54.79,57.89,31.11,59.87,46.36
CR,9.52,80.09,32.07,80.53,45.07,9.23,81.59,32.75,80.53,45.57
CRAI,31.27,59.34,51.55,58.49,45.54,36.18,61.33,49.51,58.49,46.67
CRC,50.67,50.0,72.57,34.97,46.3,50.67,56.86,64.85,34.97,46.34
CRCT,94.72,72.29,10.52,62.32,47.5,91.45,74.67,11.77,62.32,47.64
CRDO,6.4,36.7,96.15,100.0,57.03,7.12,36.67,96.15,100.0,57.21
CRGY,67.25,82.0,92.86,14.65,55.33,66.69,82.35,93.02,14.65,55.25
CRH,47.75,64.65,62.5,72.73,60.28,49.3,63.64,53.57,72.73,58.4
CRI,81.49,54.97,18.25,11.84,32.83,86.1,55.94,17.64,11.84,33.74
CRK,0.0,6.0,3.19,98.08,23.77,6.14,7.84,5.01,98.08,26.58
CRL,50.44,50.74,26.13,18.33,31.38,52.06,51.21,26.24,18.33,31.89
CRM,57.86,78.99,39.37,34.49,47.86,58.97,76.19,57.92,34.49,56.78
CRMD,14.96,73.55,,74.9,54.62,14.49,65.81,,74.9,52.04
CRMT,51.21,28.45,31.24,36.21,25.99,42.09,30.17,30.49,36.21,24.23
CRNC,42.3,40.66,13.57,49.27,18.81,44.35,40.17,12.22,49.27,18.28
CRNX,17.8,48.19,9.86,48.35,15.3,12.61,47.74,10.49,48.35,15.18
CRON,60.0,39.01,,24.39,31.15,52.38,39.78,,24.39,28.51
CROX,50.0,90.09,95.71,21.62,63.92,53.44,89.19,95.71,21.62,64.44
CRS,29.68,29.17,93.48,77.42,55.36,23.49,29.17,93.48,77.42,53.54
CRSP,18.96,45.2,95.77,24.22,62.15,14.65,0.65,97.2,24.22,55.94
CRSR,2.0,12.23,13.62,28.81,4.83,2.68,12.74,15.14,28.81,5.6
CRTO,90.98,50.8,,17.65,45.17,95.0,51.72,,17.65,46.8
CRUS,86.07,64.75,58.95,44.93,58.53,88.22,62.95,50.41,44.93,55.66
CRVL,13.79,68.92,55.35,64.86,46.49,14.85,66.06,44.31,64.86,42.11
CRVS,6.46,44.82,,88.37,50.85,5.94,44.84,,88.37,50.77
CRWD,4.41,80.25,93.67,77.92,76.87,3.38,79.43,97.29,77.92,78.41
CSCO,66.84,93.51,57.69,70.97,62.19,68.47,92.44,55.95,70.97,61.81
CSGP,,,,,,,,,,
CSGS,82.79,33.44,23.08,85.04,37.83,83.26,34.6,21.72,85.04,37.42
CSII,0.0,42.8,,53.33,30.99,0.0,44.26,,53.33,31.35
CSL,24.49,87.07,46.79,37.93,46.53,12.48,88.79,39.38,37.93,41.89
CSLT,38.24,27.17,,44.98,36.42,37.76,28.9,,44.98,36.99
CSOD,36.97,52.41,,44.98,45.97,39.47,54.6,,44.98,47.42
CSR,38.38,52.76,41.41,25.17,34.79,37.47,49.72,40.19,25.17,33.36
CSTL,52.97,42.15,71.83,62.13,53.67,55.4,36.77,71.33,62.13,52.79
CSTM,44.17,50.0,,41.94,38.26,44.93,50.0,,41.94,38.56
CSV,,,,,,,,,,
CSX,34.09,78.85,50.88,69.23,56.53,33.26,80.13,46.55,69.23,55.34
CTAS,15.63,68.65,68.68,81.13,56.88,16.73,68.65,63.37,81.13,55.57
CTIC,13.46,77.69,,48.98,52.42,13.28,69.68,,48.98,49.81
CTKB,18.97,33.17,48.54,7.5,18.53,12.26,32.96,47.57,7.5,16.53
CTLP,51.88,17.07,58.14,84.67,46.87,53.56,18.08,56.79,84.67,46.58
CTLT,5.56,33.33,7.69,80.49,27.83,7.14,31.62,7.69,80.49,27.95
CTO,35.92,54.98,,72.11,43.56,36.12,55.74,,72.11,43.93
CTOS,,,,,,,,,,
CTRA,87.2,74.0,97.62,57.41,77.07,86.38,76.47,97.67,57.41,77.32
CTRE,37.14,67.72,75.53,79.59,60.6,37.54,61.89,55.27,79.59,53.02
CTS,67.44,76.51,21.15,23.21,38.77,70.46,71.1,18.9,23.21,37.51
CTSH,84.99,28.85,14.03,64.05,33.55,84.96,31.04,12.67,64.05,33.29
CTT,72.09,64.5,,34.69,62.01,72.19,65.19,,34.69,62.31
CTVA,,,,,,,,,,
CTXS,60.04,81.82,,44.98,62.95,60.19,83.58,,44.98,63.67
CUBE,40.94,72.07,57.1,47.62,52.86,38.38,65.53,48.81,47.62,47.87
CUK,68.09,30.18,94.94,79.66,68.75,88.21,28.75,97.17,79.66,73.31
CURV,51.55,51.33,20.91,23.68,23.88,55.89,36.98,26.28,23.68,23.76
CUZ,26.73,36.87,43.02,94.56,40.72,35.69,36.22,43.82,94.56,43.51
CVA,,,,,,,,,,
CVAC,26.9,1.65,,45.94,18.5,27.1,3.23,,45.94,19.05
CVCO,,,,,,,,,,
CVEO,36.74,46.41,16.28,45.28,24.71,35.09,45.48,22.61,45.28,25.96
CVGW,29.71,13.98,9.13,38.71,12.97,30.51,13.98,9.52,38.71,13.29
CVI,,,,,,,,,,
CVLG,61.5,33.97,60.02,57.69,43.44,59.25,36.22,59.64,57.69,43.32
CVLT,29.77,82.04,51.58,78.1,56.89,25.91,82.2,19.0,78.1,40.07
CVNA,4.24,17.81,69.92,98.68,51.84,4.81,19.34,71.55,98.68,52.83
CVS,,,,,,,,,,
CVT,19.26,54.64,51.13,44.98,46.91,18.44,44.42,50.68,44.98,44.6
CVX,,,,,,,,,,
CW,,,,,,,,,,
CWAN,40.07,60.75,76.92,43.89,60.73,23.72,58.33,75.57,43.89,57.65
CWCO,5.19,71.11,,44.9,29.17,5.19,68.89,,44.9,28.27
CWEN,92.55,64.44,60.98,85.71,71.06,89.49,62.22,63.41,85.71,70.05
CWH,95.6,62.07,,58.62,66.25,95.86,64.22,,58.62,66.98
CWK,,,,,,,,,,
CWT,81.46,17.78,82.93,10.2,48.64,81.46,15.56,85.37,10.2,48.57
CXM,75.9,49.11,54.3,45.44,48.39,64.76,36.81,75.11,45.44,55.16
CXP,61.33,50.29,,34.69,52.07,61.36,51.29,,34.69,52.46
CXW,,,,,,,,,,
CYH,36.36,43.97,40.69,29.03,27.21,37.5,45.63,17.71,29.03,19.83
CYRX,28.03,8.97,100.0,86.54,46.41,28.03,10.9,67.44,86.54,37.14
CYTK,7.86,15.66,9.15,40.28,9.75,7.79,53.55,9.79,40.28,15.74
CZR,41.0,38.15,39.01,10.17,29.57,48.21,35.28,40.34,10.17,30.91
D,34.87,26.67,36.59,48.98,33.82,34.36,24.44,36.59,48.98,32.99
DAC,62.82,83.33,,73.08,67.24,62.88,84.62,,73.08,67.71
DADA,0.0,3.36,,80.26,22.03,0.0,4.74,,80.26,22.45
DAKT,73.36,30.16,83.87,44.93,50.12,72.54,31.12,91.72,44.93,52.5
DAL,,,,,,,,,,
DAN,32.86,17.24,11.48,91.38,32.55,20.67,19.83,27.52,91.38,36.13
DAR,58.99,34.0,27.65,15.04,31.96,58.94,45.1,14.26,15.04,30.71
DASH,26.41,45.89,85.97,93.8,71.74,23.6,46.35,84.62,93.8,70.82
DAVA,31.88,7.09,19.91,2.55,5.64,31.46,7.43,17.65,2.55,4.51
DAWN,31.66,80.17,,48.07,45.74,31.62,75.48,,48.07,44.23
DBD,44.33,15.63,,83.76,37.78,44.3,17.9,,83.76,38.66
DBDR,,,,,,,,,,
DBRG,42.31,39.1,18.06,8.84,23.15,32.61,59.98,20.6,8.84,26.32
DBX,82.87,93.12,22.17,50.0,46.14,83.35,92.6,20.81,50.0,45.41
DC,0.0,27.99,,82.26,25.86,0.0,26.92,,82.26,25.57
DCI,55.85,69.45,49.5,44.25,52.92,55.26,71.26,48.92,44.25,53.04
DCO,66.98,38.14,39.06,55.26,42.58,64.95,36.34,32.29,55.26,39.59
DCP,15.28,94.74,,28.29,39.91,15.28,92.11,,28.29,39.24
DCPH,13.88,86.78,61.27,26.13,43.16,13.51,82.58,61.54,26.13,42.65
DCT,5.88,28.04,72.85,44.98,51.1,5.6,30.65,69.68,44.98,49.98
DCTH,6.95,33.04,100.0,95.0,55.46,7.42,33.05,100.0,95.0,55.57
DDOG,10.13,87.18,84.62,30.84,65.19,9.45,86.13,83.71,30.84,64.45
DE,,,,,,,,,,
DEA,,,,,,,,,,
DECK,59.0,95.94,77.64,21.05,61.51,60.07,86.92,80.35,21.05,60.86
DEI,,,,,,,,,,
DELL,58.98,52.31,31.55,14.49,38.88,60.16,53.26,24.13,14.49,37.19
DEN,23.29,30.0,100.0,62.58,47.42,23.35,35.29,100.0,62.58,48.56
DESP,0.0,27.06,,84.75,35.63,0.0,24.66,,84.75,34.89
DFH,,,,,,,,,,
DFIN,77.29,62.82,15.23,16.22,33.85,73.19,65.6,21.12,16.22,35.76
DG,66.23,75.27,22.42,22.58,50.39,64.43,82.8,39.73,22.58,55.34
DGII,73.4,69.35,65.38,77.42,60.79,73.1,69.35,75.55,77.42,63.76
DGX,76.0,49.34,17.89,81.67,52.07,79.21,50.94,19.54,81.67,53.68
DH,60.75,76.35,28.05,19.34,29.67,59.62,67.36,27.6,19.34,27.57
DHI,,,,,,,,,,
DHIL,45.23,60.28,21.88,45.65,34.72,44.9,64.25,20.71,45.65,35.21
DHR,38.65,67.37,16.13,32.5,33.26,39.64,69.25,20.37,32.5,35.26
DHT,77.28,76.32,46.27,73.68,65.11,75.51,76.32,44.44,73.68,64.17
DICE,9.03,58.0,,48.98,45.34,8.66,58.1,,48.98,45.31
DIN,73.89,69.3,18.07,24.32,32.14,73.53,68.42,13.57,24.32,30.34
DINO,,,,,,,,,,
DIOD,65.34,42.03,24.71,26.09,30.56,68.23,41.91,20.16,26.09,29.55
DIS,56.06,39.74,44.44,70.97,50.27,58.08,40.46,44.44,70.97,50.87
DISH,8.7,37.5,6.62,27.14,9.44,5.33,40.67,11.65,27.14,10.89
DJCO,,,,,,,,,,
DK,,,,,,,,,,
DKL,36.11,65.79,,75.0,46.4,36.11,63.16,,75.0,45.73
DKNG,0.0,9.84,,38.71,13.77,0.0,16.97,,38.71,16.47
DKS,42.83,71.56,53.15,35.53,48.5,42.78,72.66,51.52,35.53,48.15
DLB,55.56,88.17,25.93,29.03,44.66,43.46,84.79,25.93,29.03,41.32
DLTR,17.24,58.06,42.26,19.35,33.19,15.56,79.57,16.94,19.35,34.44
DLX,90.32,54.85,16.07,7.55,32.86,90.49,56.11,14.87,7.55,32.86
DMLP,42.85,98.38,49.86,32.16,42.94,32.95,100.0,44.77,32.16,38.97
DNB,43.34,46.3,29.92,41.51,36.08,43.49,45.36,33.38,41.51,36.92
DNLI,16.7,54.81,,54.92,40.18,16.85,54.84,,54.92,40.22
DNOW,88.89,46.67,65.13,78.33,65.35,88.89,56.67,58.61,78.33,66.27
DNUT,3.45,43.01,50.99,3.23,14.2,3.33,13.98,58.92,3.23,6.89
DO,,,,,,,,,,
DOC,36.64,43.23,50.83,18.37,38.53,32.57,42.78,58.03,18.37,39.39
DOCN,8.58,16.39,,19.16,10.02,10.05,17.98,,19.16,10.99
DOCS,37.95,99.26,66.06,85.04,68.71,35.43,98.15,66.52,85.04,68.42
DOCU,65.33,85.3,34.39,50.36,49.01,67.54,79.9,57.47,50.36,59.84
DOLE,66.23,16.79,71.35,81.48,49.59,66.49,16.78,73.57,81.48,50.08
DOMO,0.0,38.92,15.38,94.53,22.74,0.0,41.7,43.44,94.53,37.4
DOOR,67.86,34.34,67.86,51.52,52.93,73.33,23.23,82.14,51.52,55.64
DORM,29.49,63.79,68.35,89.66,60.25,41.24,68.1,70.51,89.66,64.24
DOV,62.61,69.24,25.23,51.33,49.63,60.55,59.65,24.2,51.33,46.4
DOW,20.0,37.78,19.13,20.0,22.42,22.76,38.89,21.28,20.0,23.97
DOX,80.73,32.36,21.72,67.7,37.69,84.08,35.82,20.36,67.7,38.08
DPZ,31.18,84.21,13.66,27.03,33.53,35.29,85.96,20.36,27.03,37.02
DQ,68.97,91.12,,49.28,58.1,69.62,90.2,,49.28,58.02
DRE,23.49,64.06,,34.69,40.61,23.72,60.83,,34.69,39.53
DRH,24.89,26.97,,27.21,22.13,25.06,23.4,,27.21,20.89
DRI,50.69,73.68,56.09,86.49,65.25,61.76,71.05,51.07,86.49,65.24
DRNA,13.65,53.52,,48.98,44.65,13.72,53.29,,48.98,44.58
DRQ,92.86,80.0,79.52,59.17,68.75,100.0,3.33,89.88,59.17,56.97
DRS,37.74,63.69,53.12,76.32,52.98,37.35,62.79,50.0,76.32,51.71
