ticker,valuation_score_sf,quality_score_sf,growth_score_sf,sentiment_score_sf,potential_score_sf,valuation_score_fmp,quality_score_fmp,growth_score_fmp,sentiment_score_fmp,potential_score_fmp,in_sample
ASO,75.44,60.42,27.16,28.95,40.62,75.44,61.78,29.63,28.95,41.74,False
ASPI,,,,,,,,,,,False
ASPN,39.29,34.34,100.0,3.03,33.22,39.29,34.34,100.0,3.03,33.22,True
ASTE,,,,,,,,,,,True
ASTS,0.0,6.75,92.31,97.14,45.19,0.0,6.75,92.31,97.14,45.19,False
ATAI,11.25,34.69,,51.85,29.64,11.25,34.6,,51.85,29.61,False
ATCX,27.08,27.82,74.51,37.5,43.54,27.08,30.5,74.0,37.5,44.05,False
ATEC,0.0,34.1,87.38,72.5,44.32,0.0,33.86,88.35,72.5,44.61,False
ATEN,69.06,77.21,7.69,58.76,30.75,69.06,78.73,7.24,58.76,30.82,False
ATEX,33.33,7.74,96.15,11.43,31.44,33.33,7.74,96.15,11.43,31.44,False
ATGE,,,,,,,,,,,False
ATI,34.29,43.42,73.15,90.27,57.12,34.29,44.32,78.22,90.27,58.87,True
ATKR,79.38,91.02,7.92,4.42,40.41,79.38,91.47,8.91,4.42,40.82,False
ATLC,,,,,,,,,,,False
ATMU,56.74,64.0,47.52,79.65,55.75,56.74,68.5,38.94,79.65,54.3,True
ATO,53.26,100.0,41.46,87.76,68.27,53.26,100.0,41.46,87.76,68.27,True
ATR,,,,,,,,,,,False
ATRC,6.51,46.17,72.82,91.67,48.51,6.51,46.53,73.79,91.67,48.9,True
ATRI,68.47,62.8,,61.67,55.02,68.47,62.75,,61.67,55.0,False
ATRO,39.9,24.5,85.49,73.68,48.83,39.9,25.4,75.0,73.68,45.91,True
ATSG,,,,,,,,,,,False
ATUS,40.91,69.69,11.11,67.74,32.65,40.91,68.61,11.11,67.74,32.38,True
ATVI,51.05,69.48,7.24,44.98,30.87,51.05,69.69,6.79,44.98,30.68,True
ATXS,19.04,,,43.51,27.58,19.04,,,43.51,27.58,False
AUPH,41.62,54.55,62.68,57.01,48.52,41.62,54.55,64.08,57.01,49.28,True
AUR,0.0,0.74,,48.18,11.87,0.0,0.74,,48.18,11.87,False
AURA,15.31,46.89,,53.69,35.19,15.31,46.85,,53.69,35.18,False
AUTL,23.26,2.48,56.34,44.38,32.96,23.26,2.48,57.04,44.38,33.34,False
AVA,80.13,37.78,80.49,46.94,59.82,80.13,35.56,82.93,46.94,59.75,False
AVAH,44.62,30.34,61.15,96.77,51.23,44.62,25.4,45.83,96.77,45.16,True
AVAV,8.47,25.45,83.48,44.74,40.02,8.47,26.35,58.29,44.74,32.7,True
AVB,24.31,62.55,34.77,51.7,39.98,24.31,59.77,36.21,51.7,39.72,False
AVDL,3.7,32.48,94.49,17.07,32.97,3.7,32.48,94.49,17.07,32.97,False
AVDX,17.26,36.48,69.68,24.64,42.72,17.26,36.64,69.23,24.64,42.52,True
AVEO,13.41,57.02,,48.98,45.74,13.41,57.02,,48.98,45.74,False
AVGO,19.48,84.27,87.72,89.86,67.33,19.48,84.26,91.23,89.86,68.53,True
AVID,17.86,44.35,33.03,44.98,29.08,17.86,46.47,33.48,44.98,29.72,False
AVIR,19.87,,,38.56,24.03,19.87,,,38.56,24.03,False
AVLR,0.84,41.72,,44.98,33.2,0.84,43.87,,44.98,34.04,False
AVNS,94.49,42.14,11.65,15.83,27.7,94.49,42.27,11.65,15.83,27.72,False
AVNT,61.35,31.31,32.74,36.36,37.35,61.35,31.31,28.29,36.36,36.29,False
AVNW,31.99,43.62,78.61,9.68,34.44,31.99,33.94,50.48,9.68,23.6,True
AVPT,14.92,58.85,72.4,83.21,59.94,14.92,59.68,71.49,83.21,59.64,True
AVT,80.51,36.02,64.85,46.38,54.72,80.51,36.98,69.64,46.38,56.39,True
AVTR,76.5,46.63,15.76,7.08,35.18,76.5,47.23,16.88,7.08,35.66,False
AVXL,24.9,,,62.61,43.47,24.9,,,62.61,43.47,False
AVY,68.64,50.95,24.76,12.39,38.76,68.64,50.65,24.57,12.39,38.63,False
AWI,3.4,77.78,89.29,87.88,58.79,3.4,77.78,89.29,87.88,58.79,False
AWK,13.66,31.11,90.24,36.73,40.07,13.66,31.11,90.24,36.73,40.07,False
AWR,16.93,88.44,,34.69,45.64,16.93,88.44,,34.69,45.64,False
AXGN,5.71,45.34,66.99,90.83,44.68,5.71,44.85,67.96,90.83,44.94,True
AXL,94.19,26.12,34.17,14.29,34.99,94.19,26.57,33.95,14.29,35.03,False
AXNX,2.14,42.26,94.17,67.5,52.79,2.14,42.03,94.17,67.5,52.75,False
AXON,12.08,78.28,96.88,86.84,67.29,12.08,78.28,96.88,86.84,67.29,False
AXSM,11.92,66.94,89.44,58.54,69.46,11.92,66.94,88.73,58.54,69.08,True
AXTA,62.15,52.22,76.26,46.67,57.17,62.15,52.22,75.41,46.67,56.97,True
AY,,,,,,,,,,,False
AYI,66.26,67.7,22.28,64.6,51.15,66.26,68.3,22.28,64.6,51.3,True
AYX,13.73,66.4,91.4,44.98,65.02,13.73,68.17,90.5,44.98,64.91,False
AZEK,12.06,44.94,35.29,66.07,36.1,12.06,46.72,34.0,66.07,36.15,False
AZO,30.67,91.17,73.13,75.0,68.0,30.67,91.83,79.1,75.0,70.19,True
AZPN,18.4,99.45,,74.09,69.2,18.4,99.63,,74.09,69.27,False
AZZ,93.3,44.01,78.62,73.45,67.42,93.3,49.66,96.02,73.45,74.05,True
B,43.75,45.75,47.06,58.93,46.94,43.75,47.53,48.0,58.93,47.66,False
BA,11.9,27.18,43.75,50.0,32.21,11.9,27.18,43.75,50.0,32.21,False
BAH,73.18,49.43,73.68,1.89,51.89,73.18,48.85,72.13,1.89,51.28,True
BALL,,,,,,,,,,,False
BAND,47.69,21.49,57.01,28.28,33.72,47.69,23.73,56.56,28.28,33.93,False
BASE,0.0,51.09,63.8,76.64,47.97,0.0,51.08,64.71,76.64,48.42,False
BAX,34.69,31.42,19.11,44.17,29.34,34.69,31.8,19.51,44.17,29.54,False
BB,0.0,30.14,15.38,90.32,24.78,0.0,33.48,57.69,90.32,38.29,True
BBBY,0.0,8.46,1.49,3.95,0.0,0.0,4.69,4.48,3.95,0.0,True
BBIO,8.33,88.43,78.87,44.52,62.26,8.33,88.43,78.17,44.52,61.88,False
BBSI,,,,,,,,,,,False
BBW,50.81,16.36,,94.74,47.61,50.81,17.03,,94.74,47.82,False
BBWI,81.61,84.28,22.3,18.42,43.34,81.61,84.97,24.77,18.42,44.33,False
BBY,66.68,54.19,16.56,32.89,36.88,66.68,54.53,18.29,32.89,37.54,False
BCC,70.97,42.42,15.48,18.18,33.33,70.97,42.42,15.04,18.18,33.23,False
BCO,,,,,,,,,,,True
BCPC,25.27,72.22,65.64,62.22,51.12,25.27,72.22,63.52,62.22,50.62,False
BCRX,23.56,85.95,59.15,61.88,54.52,23.56,85.95,59.86,61.88,54.9,True
BCSF,59.14,74.31,65.62,36.96,53.87,59.14,62.8,76.19,36.96,54.79,True
BDC,62.89,54.26,29.34,71.68,47.6,62.89,52.75,29.8,71.68,47.36,True
BDN,62.78,38.45,,76.87,48.01,62.78,35.71,,76.87,47.01,False
BDSI,72.78,84.79,,51.22,67.38,72.78,84.79,,51.22,67.38,False
BDX,64.34,48.53,31.07,26.67,40.1,64.34,49.81,32.04,26.67,40.64,False
BE,,,,,,,,,,,False
BEAM,20.83,43.11,29.58,44.43,26.15,20.83,42.93,30.28,44.43,26.5,False
BECN,22.93,23.23,,87.88,44.29,22.93,23.23,,87.88,44.29,False
BELFB,51.98,69.43,52.79,65.22,50.61,51.98,68.47,51.01,65.22,49.83,True
BEN,59.9,30.34,28.12,41.3,35.65,59.9,33.7,30.3,41.3,37.24,False
BEP,,,,,,,,,,,False
BERY,,,,,,,,,,,False
BF-A,,,,,,,,,,,False
BFAM,,,,,,,,,,,True
BFLY,0.0,21.44,39.81,100.0,32.43,0.0,21.18,40.78,100.0,32.72,True
BFS,39.27,60.96,26.88,48.3,32.22,39.27,58.89,27.15,48.3,31.78,False
BG,80.1,26.01,93.75,22.22,53.11,80.1,26.01,93.88,22.22,53.13,False
BGCP,92.62,29.07,41.58,18.92,44.7,92.62,50.27,70.5,18.92,60.11,True
BGNE,21.75,46.28,76.76,59.95,60.04,21.75,46.28,76.06,59.95,59.67,True
BGS,54.39,27.0,13.54,11.11,19.63,54.39,27.63,13.46,11.11,19.8,False
BH,,,,,,,,,,,False
