ticker,altman_z_base,altman_z_swap,piotroski_f_base,piotroski_f_swap,potential_score_sf,in_sample,dec_sf
SJW,1.93,1.62,4,4,55.33,True,7
TASK,5.51,5.58,4,4,49.84,True,5
ADPT,3.72,3.72,5,5,21.83,True,1
AMKR,5.47,5.58,5,5,37.59,True,3
VZIO,4.72,4.72,4,4,16.2,True,1
GD,3.51,3.51,6,6,63.31,True,9
DSKE,1.03,1.03,3,3,44.2,True,4
PRGO,3.63,3.63,6,6,34.36,True,2
VSTO,5.13,4.9,7,6,32.98,True,2
DASH,5.38,5.32,7,7,71.74,True,10
SYY,1.68,1.68,6,6,60.36,True,8
DCPH,6.37,6.23,4,4,43.16,True,4
RDVT,14.62,14.62,6,6,63.66,True,9
ABG,3.19,3.66,7,7,73.42,True,10
GME,15.54,15.54,7,7,26.31,True,2
SBRA,3.2,3.07,6,6,47.19,True,5
SVC,0.37,0.23,5,4,19.52,True,1
ADMA,10.62,10.62,7,7,57.44,True,8
HQY,4.87,4.97,6,6,60.43,True,9
AVAH,0.22,0.22,6,6,51.23,True,6
MDXG,10.46,10.46,5,5,55.59,True,7
UTHR,13.42,13.42,8,8,51.54,True,6
CZR,0.97,0.97,4,4,29.57,True,2
HZO,2.56,2.56,1,1,20.73,True,1
SIRI,2.38,2.38,5,5,30.34,True,2
CTLP,4.63,4.63,6,6,46.87,True,5
ARIS,3.94,3.68,8,8,60.37,True,8
OPK,4.83,4.83,3,3,11.44,True,1
CASY,3.39,3.39,6,6,54.42,True,7
TPL,20.92,28.12,5,5,42.49,True,4
LOGI,7.7,8.07,7,7,48.79,True,5
BCSF,8.73,8.72,2,2,53.87,True,7
ALLT,3.71,4.1,7,7,14.72,True,1
ATI,4.77,4.77,5,5,57.12,True,8
BCRX,-0.38,-0.75,3,3,54.52,True,7
SMCI,8.28,8.28,2,2,56.59,True,7
TXG,11.38,10.77,7,7,30.56,True,2
STM,7.58,7.58,6,6,74.37,True,10
ADUS,5.94,5.94,5,5,51.95,True,6
ICHR,7.1,7.1,4,4,0.0,True,1
HAL,4.69,4.82,4,4,50.61,True,6
