ticker,roe_5y_med_sf,roe_5y_med_fmp,roic_5y_med_sf,roic_5y_med_fmp,gross_margin_5y_med_sf,gross_margin_5y_med_fmp,operating_margin_5y_med_sf,operating_margin_5y_med_fmp,fcf_margin_5y_med_sf,fcf_margin_5y_med_fmp,revenue_growth_3yr_sf,revenue_growth_3yr_fmp,revenue_trend_5y_sf,revenue_trend_5y_fmp,ebitda_trend_5y_sf,ebitda_trend_5y_fmp,fcf_trend_5y_sf,fcf_trend_5y_fmp,revenue_cv_5y_sf,revenue_cv_5y_fmp,op_inc_cv_5y_sf,op_inc_cv_5y_fmp,piotroski_f_sf,piotroski_f_fmp,altman_z_sf,altman_z_fmp,n_yrs_history_sf,n_yrs_history_fmp
VTYX,-0.41913057879363214,,-3.907777047452586,,,,,,,,,,,,,,,,,,0.7050550734540134,,3.0,,25.41,,5,
VVI,-0.8086473989924332,,-0.360027660431285,,-0.20805151752868942,,-0.20805151752868942,,-0.2147932410371653,,,,,,,,,,0.14085047541372414,,0.5105591285577202,,6.0,,0.82,,2,
VVNT,,,-0.39933503408473087,,0.7586081881898988,,-0.10425797694722412,,0.04415339315987422,,0.15911834083368537,,0.1461969418766411,,,,-0.9624043751424709,,0.14627286898721586,,1.4952335400824703,,7.0,,-3.37,,3,
VVV,2.2543974324465235,2.2543974324465235,0.25219008760350414,0.24724983822577798,0.3854057115120136,0.3854057115120136,0.19376158122297715,0.2203576341127923,0.12312919666693634,0.12312919666693634,0.14444946684139248,0.14444946684139248,0.18063436036152933,0.18063436036152933,0.19569892473116238,0.1803217358772639,-0.9053808398471602,-0.9053808398471602,0.2873467858600682,0.2873467858600682,0.3101942632331662,0.3052777893592932,7.0,7.0,0.98,1.13,5,5.0
VWE,-0.0012152162227076733,,-0.0006712013556688087,,0.30362832311711374,,-0.04785288643775505,,-0.030197893011422814,,0.1327279224202258,,0.11763103896192303,,-6.46306934756245,,,,0.14738403460445695,,1.3392700568444533,,3.0,,1.85,,3,
VWTR,0.10693469101990395,,0.12081581671572089,,,,,,,,,,,,,,,,,,0.33146008678116196,,4.0,,57.41,,2,
VXRT,-0.9743302259554961,,-5.899946524811062,,,,-11.295161946063152,,-9.785065727063287,,15.377554734007777,,0.6783751580583501,,,,,,1.4348401397376171,,0.3990236653305828,,3.0,,-1.73,,5,
VYGR,-0.2168468107819589,,24.303030303030305,,,,-1.0410744865689179,,-0.36668540836531643,,0.39845627639035563,,0.0261787287797127,,,,,,0.796788995330176,,7.408994710077875,,2.0,,13.46,,5,
VYNE,-0.7518198590722844,,-28.72158542976127,,,,-70.45099580712788,,-48.206492675027306,,0.024848508516651435,,-0.23026146592366692,,,,,,0.40129388574097596,,0.16881254890000807,,3.0,,7.28,,4,
VZIO,0.030846961357127885,0.06276430002225684,0.13650894389206214,0.13650894389206214,0.16069172442351326,0.15362523540489642,0.009071955172449053,0.014761904761904763,0.011760950533396378,0.014954910052666547,-0.11064042593706724,-0.11064042593706724,-0.06997781899785473,-0.02583643556884399,-0.7205351170569619,-0.3467171234185287,-0.6181818181820068,-0.5649126658095098,0.1025877277346398,0.09215626123286125,2.0831568286477293,1.8486335900184823,4.0,4.0,4.72,4.72,4,5.0
W,,,,,0.29070342877341815,,-0.02911146738671842,,0.020588979832925493,,-0.015133333577474706,,-0.049221744231517324,,,,-0.9253333333336138,,0.08302485706522574,,1.513059926369605,,4.0,,-4.75,,5,
WAB,0.06238297033605992,0.0626608592357949,0.04651675485008818,0.046671090466710904,0.30375508251614447,0.30375508251614447,0.1209040899306386,0.1209040899306386,0.10667304472614207,0.10631427888065056,0.11452543519956015,0.11452543519956015,0.08580266642314198,0.08580266642314198,0.13890280561119808,0.14956270873670344,0.1919591207095676,0.1983285493917204,0.13951699986844138,0.13951699986844138,0.31147251349252486,0.31147251349252486,9.0,9.0,4.12,4.1,5,5.0
WALD,-0.05814611397969962,,-0.04813490429837902,,0.7001329107453226,,-0.19554310835877137,,-0.043203295018037886,,,,,,,,,,,,,,,,5.4,,1,
WAT,1.402917413298235,1.402917413298235,0.4553165263074273,0.442907429715734,0.5848581091607158,0.5848581091607158,0.2793255243482344,0.2793255243482344,0.20783710964673924,0.20783710964673924,-0.002285451632792701,-0.002285451632792701,0.04831835707627346,0.04831835707627346,0.05296081277518876,0.05325853136543278,-0.024894916742814917,-0.024894916742814917,0.09218352463359682,0.09218352463359682,0.10816543210330995,0.1099159229296996,6.0,6.0,4.59,4.59,5,5.0
WBA,0.021622900402176484,0.02157456472369417,0.0078930551477573,0.012626682173118459,0.21181202786225842,0.21181202786225842,0.005254873669885721,0.008050368087094818,0.033333093664842786,0.01631462740103841,0.054843716800810016,0.054843716800810016,0.04297459836511372,0.04297459836511372,-1.0780232956489473,,-0.08738437821169905,-0.6345195033726598,0.07014923127323429,0.07014923127323429,3.91307197301577,2.1819594859022877,5.0,5.0,-2.32,-1.14,5,5.0
WBD,-0.06726631089688415,,-0.03619689443151423,,0.4158337783881387,,0.00045777065690089265,,0.14910094140993685,,0.07831274497000718,,0.3147005920434287,,0.18584036085502165,,0.2120319280012528,,0.5425839765916447,,36.3756861047055,,5.0,,1.64,,5,
WBEV,-2.4687490643926497,,-0.7875692241518362,,0.41264985132958976,,-0.16608057169387283,,-0.15169610745322862,,,,,,,,,,0.07612037379504244,,0.6327979596382693,,3.0,,2.19,,2,
WBT,0.08452166323260074,,0.018853021276711967,,0.358613275819722,,0.09612894998003749,,0.0075506035367916115,,,,,,,,,,0.2060856337421075,,0.5114791780394863,,7.0,,3.39,,2,
WCC,0.13295740610210452,0.14436598467016717,0.07077691656214154,0.0768876364766262,0.21598804700533486,0.21598804700533486,0.056061744917227346,0.056061744917227346,0.017909154262637814,0.017909154262637814,0.009263770518417536,0.009263770518417536,0.12037999910468668,0.12037999910468668,0.20251538648016407,0.20252023500133506,0.37034956672433833,0.3923146373352762,0.2177242462742025,0.2177242462742025,0.4452323960576353,0.4452323960576353,5.0,5.0,4.19,4.19,5,5.0
WCN,0.0883739219523146,,0.051895969089819804,,0.4059730846555746,,0.17477047180206934,,0.15263094975274719,,0.1121128445156887,,0.1233231681392159,,0.1370019019590153,,0.10385171724377652,,0.19525621648587851,,0.2491732252053433,,5.0,,2.52,,5,
