ticker,sf,fmp_orig,v1_addcomp,v2_subDR,v3_subDR_AE_OCL,v1_pct,v2_pct,v3_pct,orig_pct
XERS,100443000.0,100443000.0,23472000.0,100443000.0,23472000.0,-76.63152235596309,0.0,-76.63152235596309,0.0
QCOM,10592000000.0,10504000000.0,5126000000.0,10207000000.0,5126000000.0,-51.60498489425982,-3.6348187311178246,-51.60498489425982,-0.8308157099697886
TCOM,10294401781.0,74010000000.0,38322000000.0,55981000000.0,47143000000.0,272.26058216155417,443.80041881911075,357.94793134080027,618.9344419857164
ANF,1126944000.0,1126944000.0,622022000.0,1126944000.0,622022000.0,-44.804533321975185,0.0,-44.804533321975185,0.0
UE,1722320000.0,115047000.0,50000000.0,88169000.0,50000000.0,-97.09693901249477,-94.88080031585304,-97.09693901249477,-93.32023085140972
ATO,1205875000.0,1205875000.0,602003000.0,1143790000.0,621128000.0,-50.077495594485335,-5.148543588680419,-48.491510314087286,0.0
UPWK,268433000.0,268433000.0,19146000.0,261164000.0,214882000.0,-92.86749393703457,-2.7079382937269263,-19.949484601371665,0.0
IRMD,8512000.0,8512308.0,2212667.0,6252692.0,2212667.0,-74.00532189849625,-26.542622180451126,-74.00532189849625,0.0036184210526315794
WYNN,1539534000.0,1539534000.0,418379000.0,1030883000.0,418379000.0,-72.82430917407476,-33.03928331560069,-72.82430917407476,0.0
GD,17824000000.0,17824000000.0,5165000000.0,8333000000.0,5555000000.0,-71.0222172351885,-53.24842908438061,-68.83415619389586,0.0
ETSY,758595000.0,665113000.0,372242000.0,645900000.0,372242000.0,-50.93007467752886,-14.855753069819864,-50.93007467752886,-12.323044575827682
HST,1188000000.0,1397000000.0,1343000000.0,1397000000.0,1397000000.0,13.047138047138047,17.59259259259259,17.59259259259259,17.59259259259259
NAMS,106918000.0,106918000.0,4990000.0,100910000.0,4990000.0,-95.33287192053723,-5.619259619521502,-95.33287192053723,0.0
OTTR,280483000.0,309790000.0,200503000.0,309790000.0,200503000.0,-28.515097171664593,10.448761600524808,-28.515097171664593,10.448761600524808
KR,15940000000.0,15940000000.0,10995000000.0,15940000000.0,10995000000.0,-31.02258469259724,0.0,-31.02258469259724,0.0
KEX,557537000.0,734753000.0,356578000.0,557537000.0,356578000.0,-36.04406523692598,0.0,-36.04406523692598,31.78551378652897
DVN,3309000000.0,3309000000.0,1291000000.0,3309000000.0,2723000000.0,-60.9851919008764,0.0,-17.709277727410093,0.0
PLAB,183811000.0,183811000.0,116586000.0,171436000.0,143623000.0,-36.57289280837382,-6.73245888439756,-21.86376223403387,0.0
SATL,21246000.0,34621000.0,4117000.0,28750000.0,4117000.0,-80.62223477360445,35.31958956980137,-80.62223477360445,62.95302645203803
MDLZ,19549000000.0,19549000000.0,11518000000.0,19549000000.0,11518000000.0,-41.08138523709653,0.0,-41.08138523709653,0.0
WMK,343302000.0,343304000.0,276337000.0,330264000.0,276337000.0,-19.506149104869767,-3.797822325532622,-19.506149104869767,0.0005825774391060931
PSX,15087000000.0,15087000000.0,13195000000.0,15087000000.0,13195000000.0,-12.540597865712202,0.0,-12.540597865712202,0.0
EME,4153863000.0,4153863000.0,1020580000.0,2106323000.0,1020580000.0,-75.4305811241247,-49.292429721442424,-75.4305811241247,0.0
ROG,123500000.0,123500000.0,59800000.0,123500000.0,59800000.0,-51.578947368421055,0.0,-51.578947368421055,0.0
